url,imdb_id,prediction
https://youtu.be/I1C2gCXo4Gs,tt0190590,402536.0835029081
https://youtu.be/PQNLfo-SOR4,tt1324999,9565348.086990232
https://youtu.be/Ocz50YJOFTM,tt1673434,11177050.682934128
https://youtu.be/gk39pXpBpFo,tt1394211,26778.87019516438
https://youtu.be/Ol6j9xlQN1w,tt1470827,15967.659095432127
https://youtu.be/BuE98oeL-e0,tt1584016,54686.97420364196
https://youtu.be/-JZ_moituIo,tt1245526,14040459.946243454
https://youtu.be/LrceH3952Hg,tt1152822,25312.185479520635
https://youtu.be/xrQt_pwGdB0,tt1032751,238210.62585679183
https://youtu.be/evhh3NE3fyw,tt1423995,29191.950307653322
https://youtu.be/XBfcGLBJ2Uc,tt1142977,8146788.335102911
https://youtu.be/nlvYKl1fjBI,tt0401729,23151153.60773375
https://youtu.be/AJ_1eS2Erhk,tt1564349,1012327.2979955835
https://youtu.be/retX8Wj7JdM,tt1911658,9613516.562723238
https://youtu.be/dVDk7PXNXB8,tt2293640,17084848.147146333
https://youtu.be/T1GO-Jlfa58,tt1008023,96176.43171047032
https://youtu.be/JZVkLqcqmGk,tt0443496,10019.453594467683
https://youtu.be/NgZI5VZvAy8,tt0084805,2627558.2923345133
https://youtu.be/oEp382HIisE,tt0114898,9918948.069291646
https://youtu.be/7TavVZMewpY,tt6105098,2577998.6522424775
https://youtu.be/H6MLJG0RdDE,tt8364368,51223.976395355996
https://youtu.be/i5l6a5RiR1E,tt7734218,28214.324485286186
https://youtu.be/1Vnghdsjmd0,tt8772262,155623.38611895265
https://youtu.be/NtU5Ow74P3Y,tt6320628,14260446.763307607
https://youtu.be/6uqvgPm8U4c,tt8079248,585151.6727866301
https://youtu.be/bCxm7cTpBAs,tt8350360,243546.03903388823
https://youtu.be/wmiIUN-7qhE,tt1979376,1087504.6276131868
https://youtu.be/ZFy8ZgLd574,tt8663516,73014.13066242952
https://youtu.be/WgWsV9a3ENA,tt7456310,83108.80883875066
https://youtu.be/BV-WEb2oxLk,tt2283336,6186247.7617593985
https://youtu.be/lD41XdWcmbY,tt4463894,449602.5193473714
https://youtu.be/DxefiCjQirw,tt6107548,24550.10287293293
https://youtu.be/mYocfuqu2A8,tt5113040,648756.9178335201
https://youtu.be/1-q8C_c-nlM,tt6565702,6312047.187250869
https://youtu.be/QFxN2oDKk0E,tt3741700,7147634.382515253
https://youtu.be/JXwmbpV2fBs,tt2066051,1127266.7489146013
https://youtu.be/XgB4gaY2dWE,tt0086190,392102.1916309927
https://youtu.be/98Nkqlp_hrg,tt0087469,11422353.284829153
https://youtu.be/p2py_xcP2Wo,tt0080913,85246.37732606655
https://youtu.be/1tqWK4wbwk4,tt0113211,34705.30031424988
https://youtu.be/zQfoX6mS-0I,tt0427998,7738.033721107822
https://youtu.be/U1fu_sA7XhE,tt0073195,301165.9901573771
https://youtu.be/3y9qKMLjBfc,tt0078346,242140.4736325376
https://youtu.be/BGT3n1Emi8U,tt0109445,145639.76173245197
https://youtu.be/QsWto8p7t1E,tt0104573,92044.58961054153
https://youtu.be/h4uJ6938buE,tt0124718,427124.4559416694
https://youtu.be/mjEdWksilWM,tt0105812,364010.8800794523
https://youtu.be/ohIPGrbnwYc,tt0166924,157943.09183607955
https://youtu.be/k_BybDB_phY,tt0090756,107311.39023671768
https://youtu.be/ELeMaP8EPAA,tt7131622,1578986.7194478584
https://youtu.be/cd-go0oBF4Y,tt0118715,10135213.171049442
https://youtu.be/pyWuHv2-Abk,tt5700672,52063.45604368666
https://youtu.be/foGraEVNI0s,tt1374989,2684049.8949989937
https://youtu.be/4lj185DaZ_o,tt0097165,448608.0567466066
https://youtu.be/3xxdYfUvi9g,tt0095159,82259.33608828596
https://youtu.be/mLs1y_KSTKk,tt0094332,604898.349983922
https://youtu.be/D6gABQFR94U,tt0091042,4347801.50590899
https://youtu.be/qvsgGtivCgs,tt0088763,14070680.57067379
https://youtu.be/4NT4C1F_HZE,tt0087928,1078454.765140007
https://youtu.be/vEaXAsbvHV4,tt0086465,1892255.4413505648
https://youtu.be/vOIYaRb6XpQ,tt0084726,3047739.7199544045
https://youtu.be/2HCR4c1zPyk,tt0080455,232126.0106111737
https://youtu.be/lSA7mAHolAw,tt0434409,7910000.5017573135
https://youtu.be/aWemepbqFPI,tt0107206,2116879.439614476
https://youtu.be/hNCmb-4oXJA,tt6857112,5734701.7992342515
https://youtu.be/EeQKCa9ez90,tt0865556,3456767.2639338076
https://youtu.be/DIM1-q-uNow,tt0113326,124616.95640095505
https://youtu.be/I16020r--oM,tt0985694,4242102.504131972
https://youtu.be/7aYmBrXyISA,tt0086960,2606195.5733656455
https://youtu.be/wglmbroElU0,tt0409459,23300010.500039343
https://youtu.be/HlAECQzTkfY,tt0119396,5417718.112170187
https://youtu.be/8m9EVP8X7N8,tt1156398,7546066.269536657
https://youtu.be/io8Jw9BRRFY,tt0100168,83301.73310454203
https://youtu.be/2iBFmKlO4BY,tt0103074,2081827.7328755225
https://youtu.be/pumf6m7d14w,tt0102526,247563.208928313
https://youtu.be/zzwPuJklv4w,tt0104692,51634.52452789602
https://youtu.be/gG22XNhtnoY,tt0108052,216992.23626778994
https://youtu.be/g-HeV8Z6iXc,tt0109831,649746.7996372957
https://youtu.be/yNLaTtpovys,tt0113161,1451039.3075877512
https://youtu.be/rCCaTPY-z4Q,tt0116695,6693652.507171316
https://youtu.be/IOmm1OD2ArQ,tt0120490,25073.010137569116
https://youtu.be/qFee7ad2Zgo,tt0120376,29839.8031280242
https://youtu.be/JUEEOxIUOL8,tt0119196,12743.985336840373
https://youtu.be/NJP7JzpfO88,tt0161023,27181.592132388483
https://youtu.be/i6zhRf6uQyA,tt0216772,28969.699319273375
https://youtu.be/BPQQe2fFM3Q,tt0180052,3700740.825560238
https://youtu.be/r5X-hFf6Bwo,tt0167260,18036154.157817364
https://youtu.be/lAxgztbYDbs,tt0304141,27511528.427069467
https://youtu.be/KIk5rfA5uWE,tt0371257,1840542.8954250389
