prediction,prediction_metadata,prediction_video,url,ground_truth,name,imdb_id
11825811.709475664,12313594.483064348,2557939.01129075,https://youtu.be/I1C2gCXo4Gs,195104,"O Brother, Where Art Thou?",190590
57747421.59259212,60511794.66776276,5224333.1643500775,https://youtu.be/PQNLfo-SOR4,138122261,The Twilight Saga: Breaking Dawn Part 1,1324999
67400025.37468815,70800353.0862472,2793798.8550658533,https://youtu.be/Ocz50YJOFTM,141067634,The Twilight Saga: Breaking Dawn Part 2,1673434
231006.66564912692,0.0,4620133.312982538,https://youtu.be/gk39pXpBpFo,2692,Helena From the Wedding,1394211
1157266.6274255854,897134.1792767657,6099783.142253158,https://youtu.be/Ol6j9xlQN1w,20508,Monsters,1470827
327899.4555578926,179353.44170629262,3150273.7187382933,https://youtu.be/BuE98oeL-e0,257285,Catfish,1584016
5990470.180296618,6305758.084522755,0.0,https://youtu.be/-JZ_moituIo,21761408,Red,1245526
138575.86584410732,0.0,2771517.316882146,https://youtu.be/LrceH3952Hg,31893,Freakonomics,1152822
5550414.194855234,5402222.3797926735,8366058.681043874,https://youtu.be/xrQt_pwGdB0,3048665,The Warrior's Way,1032751
809673.9738181522,620478.871652233,4404380.914970619,https://youtu.be/evhh3NE3fyw,75766,Stone,1423995
15495088.536202636,15727829.519453175,11073009.854442457,https://youtu.be/XBfcGLBJ2Uc,11412213,Frankenweenie,1142977
35686071.80525738,37402199.50615723,3079645.4881602167,https://youtu.be/nlvYKl1fjBI,30180188,John Carter,401729
17699598.521043602,18266477.32984996,6928901.153722812,https://youtu.be/AJ_1eS2Erhk,19152401,Dolphin Tale,1564349
25244609.311549306,26099592.635245755,8999926.161316734,https://youtu.be/retX8Wj7JdM,25447444,Penguins of Madagascar,1911658
79661881.66979717,83854612.28399701,0.0,https://youtu.be/dVDk7PXNXB8,115718405,Minions,2293640
3469484.9518203307,3378605.386157775,5196196.699408895,https://youtu.be/T1GO-Jlfa58,96076,Proud American,1008023
119150.9681217692,0.0,2383019.362435384,https://youtu.be/JZVkLqcqmGk,19253,Edmond,443496
5382125.593403651,5665395.361477528,0.0,https://youtu.be/NgZI5VZvAy8,5540470,Tootsie,84805
16994631.39838609,17618006.790550616,5150498.947260142,https://youtu.be/oEp382HIisE,21171780,Waterworld,114898
1002264.303253824,650691.2193006747,7682152.898363656,https://youtu.be/7TavVZMewpY,191770759,The Lion King (2019),6105098
11491776.475181755,12096606.815980798,0.0,https://youtu.be/H6MLJG0RdDE,12005210,Crawl,8364368
11187486.9842506,11480041.331849672,5628954.379868287,https://youtu.be/i5l6a5RiR1E,8225384,Stuber,7734218
12261683.144716382,12907034.88917514,0.0,https://youtu.be/1Vnghdsjmd0,6560030,Midsommar,8772262
72025566.55645485,75816385.84889984,0.0,https://youtu.be/NtU5Ow74P3Y,92579212,Spider-Man: Far from Home,6320628
9814620.131784843,10331179.086089313,0.0,https://youtu.be/6uqvgPm8U4c,17010050,Yesterday,8079248
19488997.271786414,20514733.97030149,0.0,https://youtu.be/bCxm7cTpBAs,20269723,Annabelle Comes Home,8350360
44547373.53975282,46891972.14710824,0.0,https://youtu.be/wmiIUN-7qhE,120908065,Toy Story 4,1979376
4491382.908076167,4450865.70802282,5261209.7090897625,https://youtu.be/ZFy8ZgLd574,14094594,Child's Play (2019),8663516
0.0,0.0,0.0,https://youtu.be/WgWsV9a3ENA,3600647,Anna (2019),7456310
40580430.2546673,42716242.37333401,0.0,https://youtu.be/BV-WEb2oxLk,30035838,Men in Black International,2283336
7471314.669950877,7864541.75784303,0.0,https://youtu.be/lD41XdWcmbY,8901419,Shaft (2019) ,4463894
0.0,0.0,0.0,https://youtu.be/DxefiCjQirw,246305,Late Night,6107548
36590350.12438348,38516158.025666825,0.0,https://youtu.be/mYocfuqu2A8,46652680,The Secret Life of Pets 2,5113040
20635896.278125707,21721996.082237586,0.0,https://youtu.be/1-q8C_c-nlM,32828348,Dark Phoenix,6565702
32107593.27836445,33797466.60880468,0.0,https://youtu.be/QFxN2oDKk0E,47776293,Godzilla:King of the Monsters,3741700
21055462.04344067,22163644.25625334,0.0,https://youtu.be/JXwmbpV2fBs,25725722,Rocketman,2066051
28117969.522573303,29597862.65534032,0.0,https://youtu.be/XgB4gaY2dWE,23019618,Return of the Jedi,86190
17003444.29978178,17898362.42082293,0.0,https://youtu.be/98Nkqlp_hrg,25337110,Indiana Jones and the Temple of Doom,87469
0.0,0.0,0.0,https://youtu.be/p2py_xcP2Wo,318403,The Idolmaker,80913
0.0,0.0,0.0,https://youtu.be/1tqWK4wbwk4,117161,The Grass Harp,113211
83156.61615738725,87533.2801656708,0.0,https://youtu.be/zQfoX6mS-0I,26334,The Grand,427998
16086646.95146602,16933312.58049055,0.0,https://youtu.be/U1fu_sA7XhE,7061513,Jaws,73195
3836406.4389344635,4038322.567299435,0.0,https://youtu.be/3y9qKMLjBfc,7465343,Superman (1978),78346
4814851.697123052,5068264.944340055,0.0,https://youtu.be/BGT3n1Emi8U,31665,Clerks,109445
4260848.990902471,4485104.20094997,0.0,https://youtu.be/QsWto8p7t1E,8085915,Juice,104573
7662500.768891614,8065790.283043805,0.0,https://youtu.be/h4uJ6938buE,7610663,He Got Game,124718
7998454.748535521,8419426.051090023,0.0,https://youtu.be/mjEdWksilWM,14711124,White Men Can't Jump,105812
4284036.224037385,4509511.814776193,0.0,https://youtu.be/ohIPGrbnwYc,587591,Mulholland Drive,166924
2009197.103070156,2114944.319021216,0.0,https://youtu.be/k_BybDB_phY,789409,Blue Velvet,90756
1283902.3076103404,914503.1748989854,8302485.829126085,https://youtu.be/ELeMaP8EPAA,41082018,Once Upon a Time in Hollywood,7131622
27731231.63008048,28730903.74382881,8737461.468862114,https://youtu.be/cd-go0oBF4Y,5533844,The Big Lebowski,118715
3683578.379933348,3712286.649647312,3138121.2553680236,https://youtu.be/pyWuHv2-Abk,284776,Train to Busan,5700672
13285684.722377975,13767176.265187815,4137345.4089910663,https://youtu.be/foGraEVNI0s,5324240,Pride and Prejudice and Zombies,1374989
8253421.788323073,8474907.66626871,4045190.1073559774,https://youtu.be/4lj185DaZ_o,340456,Dead Poets Society,97165
8615009.624381948,8898663.36793893,3225588.4967992883,https://youtu.be/3xxdYfUvi9g,115418,A Fish Called Wanda,95159
4485547.854098164,4504064.951582142,4133723.00190256,https://youtu.be/mLs1y_KSTKk,9454238,The Witches of Eastwick,94332
13785438.29019534,14216908.427319927,5587505.684828216,https://youtu.be/D6gABQFR94U,6275647,Ferris Bueller's Day Off,91042
31660565.096466586,32905371.65186864,8009240.5438275635,https://youtu.be/qvsgGtivCgs,11152500,Back to the Future,88763
